en	phonetic	cn	example	exampleCn	synonym	root
mechanic	/məˈkænɪk/	n. 技工， 机修工； 力学， 机械学； 过程， 方法， 技术性细节	a garage mechanic	汽车修理厂的技工	同义：servicemen, technical worker, manual, handmade	同根：mechanical 机械的；力学的；呆板的；无意识的；手工操作的；mechanically 机械地；呆板地；物理上地
balcony	/ˈbælkənɪ/	n. 阳台； 楼厅， 楼座	Has your flat got a balcony?	你的公寓有阳台吗？	同义：box, sun porch	同根：balconied 有阳台的
preparation	/,prɛpəˈreʃən/	n. 准备， 预备； 制剂	This dish is good for dinner parties because much of the preparation can be done ahead of time.	这道菜适合宴会，因为很多准备工作可以事先做好。	同义：arrangement, preliminary, provision	同根：prep 准备（preparation）；预备的（preparatory）；前置词（preposition）；prepared 准备好的；精制的；preparatory 预备的
reliable	/rɪˈlaɪəbl/	adj. 可靠的， 可信赖的	a birth control method that is cheap and reliable	既便宜又可靠的避孕方法	同义：responsible, tried, honest, safe	同根：reliably 可靠地；确实地；reliability 可靠性；rely 依靠；信赖
relate	/rɪˈlet/	vi. 有关， 涉及； 符合； 相处 vt. 使有关联；讲述，叙述	I don’t understand how the two ideas relate.	我不明白这两个观点有什么联系。	同义：narrate, recount, deal with, identify	同根：relative 相对的；有关系的；成比例的；related 有关系的，有关联的；讲述的，叙述的；relative 亲戚；相关物；[语] 关系词；亲缘植物
critic	/ˈkrɪtɪk/	n. 批评家， 爱挑剔的人	Mather was a film critic for many years.	马瑟做过多年的电影评论家。	同义：commenter, reviewer	同根：critical 鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的；critically 精密地；危急地；批评性地；用钻研眼光地；criticism 批评；考证；苛求
grammar	/ˈgræmɚ/	n. 语法； 语法书	Check your spelling and grammar.	检查你的拼写和语法。	同义：syntax, phraseology	同根：grammatical 文法的；符合语法规则的；grammatically 从语法上讲
preliminary	/prɪˈlɪmɪnɛri/	adj. 预备的，初步的 n. 初步做法， 起始行为	the preliminary stages of the competition	竞赛的预赛阶段	同义：preparation, arrangement, provision, opening	同根：prelim 预备考试
obstacle	/ˈɑbstəkl/	n. 障碍， 障碍物， 妨碍	The tax puts obstacles in the way of companies trying to develop trade overseas.	这项税收为想在海外发展贸易的公司设置了障碍。	同义：interference, let, bar, disturbance	
profession	/prəˈfɛʃən/	n. 职业； 声明， 表白	Harper was a teacher by profession.	哈珀的职业是教师。	同义：employment, career, calling, pursuit	同根：professional 专业的；职业的；职业性的；professed 声称的；公开承认的；伪称的；professionally 专业地；内行地
calculator	/ˈkælkjuletɚ/	n. 计算器， 计算者	...a pocket calculator.	…一个袖珍计算器。	同义：counter, numerator	同根：calculated 计算出的；适合的；有计划的；calculating 计算的；深谋远虑的；审慎的；calculable 可计算的；能预测的；可靠的
van	/væn/	n. 大篷车， 运货车	a delivery van	运货车	同义：vanguard, pioneer	
biology	/baɪˈɑlədʒi/	n. 生物学， 生态学	a degree in biology	生物学学位	同义：life-form, living things	同根：biological 生物的；生物学的；biologic 生物的；生物学的；bioluminescent 生物性发光的
worm	/wɝm/	n. 虫， 蠕虫	...a new computer worm that disables security software.	…一种使安全软件失灵的新型计算机蠕虫病毒。	同义：nobody, endless screw, work, inch	同根：wormlike 像虫的；虫一样蠕动的；wormy 有虫的，虫蛀的；似虫的；卑躬屈膝的
compress	/kəmˈprɛs/	vt. 压紧， 压缩	Light silk is best for parachutes, as it compresses well and then expands rapidly.	轻质丝绸最适合制作降落伞，因为这种面料便于压缩，而且展开迅速。	同义：impact, pack	同根：compressed 被压缩的；扁平的；compressible 可压缩的；可压榨的；compression 压缩，浓缩；压榨，压迫
collaborative	/kəˈlæbəretɪv/	adj. 合作的， 协作的， 协力完成的	...a collaborative research project.	…一个合作研究项目。	同义：cooperative, coefficient, synergic	同根：collaboration 合作；勾结；通敌；collaborator [劳经] 合作者；勾结者；通敌者；collaborationist 通敌卖国者；协助者
cherish	/ˈtʃɛrɪʃ/	vt. 珍爱； 怀有	In marriage, a man promises to cherish his wife.	在婚姻中，男人承诺要爱护妻子。	同义：treasure, imbosom	
constitute	/ˈkɑnstətut/	vt. 组成， 形成； 设立； 任命	We must redefine what constitutes a family.	我们必须对家庭的构成重新定义。	同义：install, establish, form, found	同根：constituent 构成的；选举的；constitutive 基本的；本质的；制定的；构成分子的；constitution 宪法；体质；章程；构造
cattle	/ˈkætl/	n. 牛； 牲口， 家畜	herds of cattle	成群的牛	同义：ox, moo-cow	同根：cattleship 载运牲畜的船
imagination	/ɪ,mædʒɪˈneʃən/	n. 想象， 想象力， 空想； 想象出	a storyteller with an incredible imagination	想象力极丰富的讲故事者	同义：vision, revery	同根：imaginative 虚构的；富于想像的；有创造力的；imaginable 可能的；可想像的；imagined 想象的；构想的
resistance	/rɪˈzɪstəns/	n. 反抗， 抵制； 抵抗力， 抵抗性； 阻力； 电阻	disease resistance	抗病能力	同义：resisting force, rebellion	同根：resistant 抵抗的，反抗的；顽固的；resistive 有抵抗力的；resistible 可抵抗的
underneath	/,ʌndɚˈniθ/	adv. 在下面，在底下 prep. 在…下面，在…底下 n. 下部， 底部	He has on his jeans and a long-sleeved blue denim shirt with a white T-shirt underneath.	他身穿牛仔裤和一件蓝色长袖粗斜纹棉布衬衫，里面还有件白色T恤衫。	同义：hereunder, down below, basis, bottom	
nursery	/ˈnɝsəri/	n. 托儿所， 保育室； 苗圃	He has painted murals in his children's nursery.	他在他家的育儿室画上了壁画。	同义：soil, nest	同根：nurseryman 花厂工人；苗圃主人
mate	/met/	v. 成为配偶， 交配 n. 伙伴，同事；配偶，配对物；大副	Rabbits can be mated as early as six months old.	兔子在六个月大时就可以交配了。	同义：friend, assistant, brother, aid	同根：matching 相配的；一致的；相称的；matey 友好的；易为人亲近的；matching 匹配
emperor	/ˈɛmpərɚ/	n. 皇帝	I am napoleon, I am emperor… burned it!	我就是拿破仑，我就是皇帝…烧掉它！	同义：sovereignty, Kaiser	
prolong	/prəˈlɑːŋ/	vt. 拉长， 延长	I was trying to think of some way to prolong the conversation.	我在想方设法拖长这次谈话。	同义：drag on, drag out	同根：prolonged 延长的；拖延的；持续很久的；prolongation 延伸；延长部分；[经] 延期
theory	/ˈθiəri/	n. 理论， 原理； 学说； 意见， 看法	Freudian theory has had a great influence on psychology.	弗洛伊德理论对心理学产生过巨大影响。	同义：mechanism, element, speculation, doctrine	同根：theoretical 理论的；理论上的；假设的；推理的；theoretic 理论上的；空谈的；theoretically 理论地；理论上
distress	/dɪˈstrɛs/	n. 忧虑， 痛苦， 悲伤； 不幸	Luke’s behaviour caused his parents great distress.	卢克的行为使他的父母深感忧虑。	同义：poverty, disaster, evil, want	同根：distressed 痛苦的；忧虑的；贫困的；受损的；distressing 使痛苦的；悲伤的；使烦恼的；distressful 苦难重重的；使苦恼的；不幸的
flock	/flɑk/	n. 羊群， 群； 大量	They kept a small flock of sheep.	他们养了一小群绵羊。	同义：cluster, gang, bunch, qun	
internal	/ɪnˈtɝnl/	adj. 内的； 国内的； 内心的	We have no interest in interfering in the internal affairs of other countries.	我们对干涉其他国家内政不感兴趣。	同义：inner, inherent, domestic, inside	同根：internally 内部地；国内地；内在地；intern 实习生，实习医师；internalization 内在化；成为主观
extension	/ɪkˈstɛnʃən/	n. 延长部分， 伸展； 电话分机， 分机号码	a loft extension	增建的阁楼	同义：delay, spread	同根：extensive 广泛的；大量的；广阔的；extended 延伸的；扩大的；长期的；广大的；extensible 可延长的；可扩张的
signature	/ˈsɪgnətʃɚ/	n. 署名， 签字， 签名	Her signature is totally illegible (= cannot be read ) .	她的签字完全无法辨认。	同义：a scratch of pen	同根：signed 有符号的；已签字的；有正负之分的；signatory 签署的；签约的；signatory 签约国；签名人
steep	/stip/	adj. 险峻的， 陡峭的； 过高的； 急剧的	The road became rocky and steep.	路变得崎岖陡峭起来。	同义：tall, unreasonable, dip, dunk	同根：steeper 陡峭的，险峻的；steeply 陡峭地；险峻地；steeper 浸润器；浸泡用的桶子
thumb	/θʌm/	v. 示意要求搭车 n. 拇指	I thumbed a lift into town.	我拦顺路车进了城。	同义：turn over, browse through	
republican	/rɪˈpʌblɪkən/	adj. 共和政体的；共和党的 n. 共和党人	Lower taxes made Republican voters happier with their party.	更低的税率使共和党选民对该党更加满意。		同根：republic 共和国；共和政体；republicanism 共和主义；共和政治
literary	/lɪtərɛri/	adj. 文学的； 文人的， 书卷气的	a literary prize	文学奖	同义：written	同根：literate 受过教育的；精通文学的；literature 文学；文献；文艺；著作；literacy 读写能力；精通文学
architect	/ˈɑrkɪtɛkt/	n. 建筑师， 设计师； 缔造者	Tinoco was one of the architects of the government’s economic reforms.	蒂诺科是政府经济改革的设计师之一。		同根：architectural 建筑学的；建筑上的；符合建筑法的；architectonic 建筑术的；组织的；知识体系的；architecturally 建筑上地；关于建筑地
forehead	/ˈfɔrˈhɛd/	n. 额头； 前部	...the lines on her forehead.	…她前额上的皱纹。	同义：quantum, frons	
classical	/ˈklæsɪkl/	adj. 古典的， 经典的	the classical theory of relativity	经典相对论	同义：traditional, conventional, royal, classic music	同根：classic 经典的；古典的，传统的；最优秀的；classically 拟古地；古典主义地；classic 名著；经典著作；大艺术家
privilege	/ˈprɪvəlɪdʒ/	n. 特权； 优惠	He had no special privileges and was treated just like every other prisoner.	他不享受特权，待遇和任何其他犯人一样。	同义：franchise, peculiar	同根：privileged 享有特权的；有特别恩典的；privileged 给予…特权；免除（privilege的过去分词）
foundation	/faʊnˈdeʃən/	n. 基础；	It took the builders three weeks to lay the foundations .	建筑工人花了三星期的时间打地基。	同义：elements, basis, bed, seed	同根：founder 创始人；建立者；翻沙工；foundress 女创立者；女奠基者；found 找到（find的过去分词）
substitute	/ˈsʌbstɪtut/	n. 代替人；代用品 vt. 用…代替	Germany brought on a substitute at half time.	德国队在比赛半场时换上一名替补队员。	同义：replacement, proxy, supply, fill in	同根：substitutable 可替换的；substitution 代替；[数] 置换；代替物；substituting 取代；代入
punch	/pʌntʃ/	vt. 猛击；穿孔 n. 猛击； 冲床； 穿孔机； 力量， 效力	He punched me and knocked my teeth out.	他朝我一拳，打落了我的牙齿。	同义：blanking press, drilling machine, jab	同根：puncher 穿孔者；穿孔机
naturally	/ˈnætʃrəli/	adv. 当然； 天然地； 天生地	Naturally, you’ll want to discuss this with your wife.	当然，你一定想和你妻子商量一下这件事。	同义：spontaneously, unaffectedly	同根：natural 自然的；物质的；天生的；不做作的；naturalist 自然的（等于naturalistic）；自然主义的；博物学的；naturalistic 自然的；自然主义的；博物学的
flexibility	/,flɛksəˈbɪləti/	n. 灵活性， 机动性， 柔韧性	Employees expect flexibility in the workplace.	员工们盼望工作安排有弹性。	同义：give, elasticity, adaptability	同根：flexible 灵活的；柔韧的；易弯曲的；flex 弹性工作制的；flexibly 灵活地；易曲地；柔软地；有弹性地
mysterious	/mɪˈstɪrɪəs/	adj. 神秘的， 诡秘的	The police are investigating the mysterious deaths of children at the hospital.	警察正在调查这家医院的儿童神秘死亡事件。	同义：magic, fantastic	同根：mystic 神秘的；神秘主义的；mystical 神秘的；神秘主义的；mystified 困惑的
moreover	/mɔrˈovɚ/	adv. 而且， 再者， 此外	The rent is reasonable and, moreover, the location is perfect.	租金合理，而且位置也非常好。	同义：besides, again, also, then	同根：more 更多的；附加的；more 更多；此外；更大程度地；more 更多
identity	/aɪˈdɛntəti/	n. 身份； 个性， 特性； 同一性， 一致性	The identity of the killer is still unknown.	凶手的身份仍未查明。	同义：accordance, estate, unity, agreement	同根：identical 同一的；完全相同的；identifiable 可辨认的；可认明的；可证明是同一的；identically 同一地；相等地
scatter	/ˈskætɚ/	v. 撒， 散播； 散开， 驱散	The sound of gunfire made the crowd scatter in all directions.	枪声使人群四散奔逃。	同义：spread around, spread about, disject, disperse	同根：scattered 分散的；散乱的；scattering 分散的；scattershot 漫无目标的；任意的
installation	/ˈɪnstəˈleʃən/	n. 安装； 装置， 设施； 就任， 就职	the installation and maintenance of alarm systems	警报系统的安装和维护	同义：device, apparatus, unit, gear	同根：installing 安装的；installment 安装；分期付款；部分；就职；instalment 分期付款；装设；就职
writing	/ˈraɪtɪŋ/	n. 书写， 写； 著作	Some of his most powerful writing is based on his childhood experiences.	他的一些最震慑人心的作品是根据儿时经历写成的。	同义：works, production, literature, calligraphy	同根：written 书面的，成文的；文字的；writer 作家；作者；written 写（write的过去分词）
violate	/ˈvaɪəlet/	vt. 违反， 违背； 亵渎； 侵犯； 妨碍	34 protesters were arrested for violating criminal law.	34名抗议者因违反刑法而被逮捕。	同义：let, act against	同根：violable 易受侵犯的；可亵渎的；可违反的；violative 违犯的；违背的；违反的；violation 违反；妨碍，侵害；违背；强奸
verify	/ˈvɛrɪfaɪ/	vt. 证实， 查证， 证明	His statement was verified by several witnesses.	他的说法得到了几位证人的证实。	同义：touch bottom, check on	同根：verified 已查清的，已证实的；verifiable 可证实的；能作证的；可检验的；verification 确认，查证；核实
collective	/kəˈlɛktɪv/	adj. 集体的，集合性的 n. 团体， 集体	a collective decision made by all board members	董事会所有成员作出的集体决定	同义：mutual, corporate, common, joint	同根：collect 由收件人付款的；collected 镇定的；收集成的；collectivist 集体主义的
excursion	/ɪkˈskɝʒn/	n. 远足， 短途旅行	a shopping excursion	购物游	同义：skewing, short trip	
steer	/stɪr/	v. 掌舵， 驾驶； 操纵	He was steering with only one hand.	他只用一只手在驾驶。	同义：possess, contain, regulate, bit	同根：steerable 易驾驶的；可操纵的；易改变位置的；steering 操纵；指导；掌舵；steerage 统舱；舵效；操舵；驾驶；管理；士官的二等室
academy	/əˈkædəmi/	n. 研究会， 学会； 专门学校	the American Academy of Arts and Letters	美国艺术和文学学会	同义：college, school	同根：academic 学术的；理论的；学院的；academic 大学生，大学教师；学者；academician 院士；大学生；学会会员；大学教师
undergo	/,ʌndɚˈɡo/	vt. 经历， 经受， 忍受； 接受	The country has undergone massive changes recently.	这个国家最近经历了巨大的变化。	同义：experience, stand, stomach, tough	
reward	/rɪˈwɔrd/	n. 报答，奖赏；报酬，酬金 vt. 报答， 酬谢， 奖励	The school has a system of rewards and punishments to encourage good behaviour.	学校有奖惩制度以鼓励良好行为。	同义：compensation, payment, consideration, return	同根：rewarding 有益的，值得的；有报酬的，报答的；rewardful 有报酬的；有酬劳的
include	/ɪnˈklud/	vt. 包括， 包含	Does the price include postage?	这个价格包含邮费吗？	同义：involve, contain, comprise	同根：inclusive 包括的，包含的；included 包括的；[植] 内藏的；inclusion 包含；内含物
sympathize	/ˈsɪmpəˈθaɪz/	vi. 同情， 怜悯； 体谅； 赞同	I sympathize, but I don’t know how to help.	我很同情，但不知道如何帮忙。	同义：support of, feel for	同根：sympathetic 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的；sympathetically 悲怜地，怜悯地；富有同情心地；sympathy 同情；慰问；赞同
alongside	/əˈlɔŋˈsaɪd/	adv. 在旁边，沿着边，并排地 prep. 在…旁边， 沿着…的边； 和…在一起	A car drew up alongside .	一辆车在旁边停了下来。	同义：aside	
swallow	/ˈswɑlo/	n. 燕子；吞，咽 vt. 吞， 咽； 轻信， 轻易接受； 承受， 使不流露； 咽下口水	He downed his whisky in one swallow.	他一口喝下威士忌。	同义：stomach, go, stand, abide	
coupon	/ˈkupɑn/	n. 礼券， 优惠券， 配给券； 联票； 票证	The coupon entitles you to ten cents off your next purchase.	这张优惠券可以让你在下次购物时节省10分钱。	同义：Oakley, annie oakley	
railroad	/ˈrelrod/	n. 铁路 vt. 由铁路运输	The supplies were sent on the railroad.	补给经由铁路运送。	同义：Eisenbahn	同根：railway （英）铁路；轨道；铁道部门；railroader [铁路] 铁路员工；railroading 铁路建设；仓促行事
nucleus	/ˈnuklɪəs/	n. 核心； 核	Neutrons and protons are bound together in the nucleus of an atom.	在一个原子的核内，中子和质子聚合在一起。	同义：core, quick	同根：nucleonics 核子学；原子核物理学
fascinating	/ˈfæsɪnetɪŋ/	adj. 迷人的， 有极大吸引力的	a fascinating book	一本引人入胜的书	同义：attractive, killing, taking, absorbing	同根：fascinated 着迷的；被深深吸引的；fascinatingly 极有吸引力地；迷人地；fascination 魅力；魔力；入迷
sting	/stɪŋ/	v. 刺，蜇，叮 n. 刺伤处，蜇伤处	He was stung by a bee.	他被蜜蜂蜇了。	同义：stimulus, smart, incentive, excitement	同根：stingy 吝啬的，小气的；有刺的；缺乏的；stinging 激烈的；刺人的；刺一样的；stingless 无刺的；无针的
haste	/hest/	n. 急速， 急忙； 草率	I soon regretted my haste.	我很快就对自己的仓促感到后悔。	同义：hurry, hasty indeed, hurry, rush	同根：hasty 轻率的；匆忙的；草率的；性怠的；hastily 匆忙地；急速地；慌忙地；hastiness 轻率；性急；仓促
liquid	/ˈlɪkwɪd/	adj. 液体的； 清澈的； 流畅的 n. 液体	Children take antibiotics in liquid form.	儿童服用液态抗生素。	同义：mobile, bright, variable, clear	同根：liquor 酒，含酒精饮料；溶液；液体；烈酒；liquidity 流动性；流动资产；[金融] 偿债能力；liquidation 清算；偿还；液化；清除
sleeve	/sliv/	n. 袖子， 袖套	a dress with long sleeves	长袖连衣裙	同义：arm, connecting	同根：sleeveless 无袖的
devotion	/dɪˈvoʃən/	n. 献身， 奉献； 忠实； 热爱； 虔诚	At first she was flattered by his devotion.	最初他的挚爱使她感到受宠若惊。	同义：commitment, dedication, loyalty	同根：devoted 献身的；忠诚的；devotional 虔诚的，祷告的；信仰的；献身的；devotedly 忠实地；一心一意地
anonymous	/əˈnɑnəməs/	adj. 匿名的； 无名的； 无特色的	the anonymous author of a collection of poems	一本诗集的佚名作者	同义：faceless, innominate	同根：anonymously 不具名地；化名地；anonymity 匿名；匿名者；无名之辈；anonym 假名；匿名者；化名
stir	/stɝ/	v. 搅动；拨动；激动；唤起 n. 搅拌， 搅动； 激动， 骚乱	Stir the paint to make sure it is smooth.	将油漆搅拌至均匀。	同义：sensation, blockbuster, mill, occasion	同根：stirring 激动人心的；活跃的，活泼的；忙碌的；stirrer 搅拌器；搅拌用杓子；煽动者；stirring 激起（stir的ing形式）
fisherman	/ˈfɪʃɚmən/	n. 渔民， 渔夫	The Algarve is a paradise for fishermen whether river anglers or deep-sea fishermen.	阿尔加维对河边的垂钓者或深海的渔民都是一个天堂。	同义：peterman	
span	/spæn/	n. 跨距，一段时间 vt. 持续， 贯穿； 包括； 横跨， 跨越	It’ll be difficult to hire that many new staff in such a short time span .	在这么短的时间里要想招聘到那么多新员工是很难的。	同义：extent, boundary, region, spectrum	同根：spanner 扳手；螺丝扳手；测量器；用手掌量的人
insult	/ɪnˈsʌlt/	vt. 侮辱， 凌辱 n. 侮辱， 凌辱	Nobody insults my family and gets away with it!	谁也别想侮辱了我的家人之后就这么算了！	同义：hurt, abuse, despite, contumely	同根：insulting 侮辱的，无礼的；污蔑的；损害人体的；insultingly 侮辱地；无礼地；insulting 侮辱；损害（insult的ing形式）
existence	/ɪɡˈzɪstəns/	n. 存在， 实在， 生存	Scientists have many theories about how the universe first came into existence (= started to exist ).	关于宇宙的起源，科学家有多种理论。	同义：presence, being, entity, life	同根：existing 目前的；现存的；existent 存在的；生存的；existential 存在主义的；有关存在的；存在判断的
craft	/kræft/	n. 工艺， 手艺； 船， 航空器	traditional rural crafts	传统的乡村手工艺	同义：technology, hand, ship, workmanship	同根：crafty 狡猾的；灵巧的；craftiness 狡猾；熟练；巧妙
butcher	/ˈbʊtʃər/	n. 肉商，肉贩，屠夫 vt. 屠宰， 残杀	He worked in a butcher's.	他在肉铺工作。	同义：put to the sword, shed blood, slaughterer, flesher	同根：butcherly 残忍的；笨手笨脚的；butcherly 如屠夫地；残忍地；butchery 屠场；肉贩；肉食店
poll	/pol/	n. 民意测验；政治选举，大选 vt. 对…进行民意测验； 获得	A recent poll found that 80% of Californians support the governor.	最近的一项民意调查发现80%的加利福尼亚人支持州长。	同义：vote, referendums, crop, cast one's vote	同根：politic 精明的；有策略的；狡猾的；审慎的；politic 拉选票
minority	/maɪˈnɔrəti/	n. 少数； 少数民族	Gaelic is still spoken in Ireland by a tiny minority.	爱尔兰仍有极少数人在说盖尔语。	同义：ethnic minorities, nonage	同根：minor 未成年的；次要的；较小的；小调的；二流的；minor 未成年人；小调；副修科目；minor 副修
pole	/pol/	n. 杆； 极， 磁极， 电极	a telephone pole	电话线杆	同义：electrode, climax	同根：poler 辕马；撑船者
float	/flot/	v. 浮动， 漂浮； 飘动	I looked up at the clouds floating in the sky.	我仰望着天上的浮云。	同义：execute, to put into practice, fan, swing	同根：floating 流动的；漂浮的，浮动的；floaty 吃水浅的；能浮起的；floatation [物化] 浮选；漂浮性
graceful	/ˈɡresfl/	adj. 优美的， 优雅的； 得体的	Her movements were graceful and elegant.	她举手投足优雅而高贵。	同义：elegant, pretty, exquisite	同根：gracile 纤弱的，细长的；纤细优美的；gracefully 优雅地；温文地；gracelessly 笨拙地；不优美地
fourfold	/ˈfɔrfold/	adv. 四倍， 四重 adj. 四倍的，四重的	Further down the supply chain, garlic prices have jumped tenfold on wholesale markets in big cities and fourfold nationwide.	沿供应链向下，其大城市批发价格跳升十倍，而全国售价则上升四倍。	同义：quadruple	
preferable	/ˈprɛfrəbl/	adj. 更可取的， 更好的， 更合意的	For this dish, fresh herbs and garlic are preferable.	做这道菜，用新鲜香草和大蒜更好。	同义：Mair	同根：preferably 较好；宁可，宁愿；更适宜；prefer 喜欢；愿意；prefer 更喜欢；宁愿；提出；提升
reference	/ˈrɛfrəns/	n. 提到， 论及； 参考； 引文； 参考书目； 证明书， 证明人	He made no reference to any agreement.	他没有提到任何协议。	同义：involved in, mention, quote, cite	同根：referenced 引用的，参考的；referential 指示的；用作参考的；referable 可归因于…；可参考的；可交付的；可涉及的
frog	/frɔɡ/	n. 蛙	She was really of the cold frog.	她真的很害怕这只冰冷的青蛙。		
spite	/spaɪt/	n. 恶意，怨恨 vt. 刁难， 欺侮	I refused her a divorce, out of spite I suppose.	我拒绝了她离婚的要求，我想是出于怨恨。	同义：regardless of, hatred, make a difficulty, exasperate	同根：spiteful 怀恨的，恶意的；spitefully 怀恨地；怀有恶意地；spitefulness 怀恨在心；充满恶意
chamber	/ˈtʃeɪmbər/	n. 会议室， 会所； 房间； 腔， 室	a combustion chamber	燃烧室	同义：apartment, room, indoor, private	同根：chambered 有房间的；隔成房间的
coarse	/kɔrs/	adj. 粗的， 粗糙的； 粗劣的； 粗俗的	a jacket of coarse wool	粗羊毛夹克衫	同义：crude, rough, low, inferior	同根：coarsely 粗糙地；鄙俗地；粗俗地；coarseness 粗；粗糙；劣等；coarsen 变粗糙；变粗俗
nephew	/ˈnɛfju/	n. 侄子， 外甥	I am planning a 25th birthday party for my nephew.	我正在为侄子筹划他25岁的生日聚会。		
publicity	/pʌbˈlɪsəti/	n. 公众的注意， 名声； 宣传， 宣扬	Much advance publicity was given to the talks.	会谈之前做了大量的宣传。	同义：advertisement, propaganda, bill, regard	同根：public 公众的；政府的；公用的；公立的；publicly 公然地；以公众名义；public 公众；社会；公共场所
exaggerate	/ɪɡˈzædʒəret/	v. 夸大， 夸张	I couldn’t sleep for three days – I’m not exaggerating.	我三天没睡觉了——一点不夸张。	同义：enlarge, broaden, put it on, pile it on	同根：exaggerated 夸张的，言过其实的；exaggeratedly 夸张地；exaggeration 夸张；夸大之词；夸张的手法
imply	/ɪmˈplai/	vt. 暗示， 意指	an implied threat	隐含的威胁	同义：mean, hint at	同根：implied 含蓄的；暗指的；implied 暗示；意味（imply的过去式）
commitment	/kəˈmɪtmənt/	n. 承诺， 许诺， 保证； 信奉， 献身； 承担的义务	Are you ready to make a long-term commitment ?	你是否准备好作出长久的承诺？	同义：assurance, certification, guarantee, security	同根：committed 坚定的；效忠的；承担义务的；commissioned 受委任的，受任命的；服役的，现役的；commission 委员会；佣金；犯；委任；委任状
spade	/sped/	n. 铲， 铁锹	...a garden spade.	…一把花园里使用的锹。	同义：rabbler, shool, shovel	同根：spadeful 满满一铲子；一满铲
manufacture	/ˈmænjəˈfæktʃɚ/	vt. 制造，加工 n. 制造， 制造业	the company that manufactured the drug	生产这种药的公司	同义：machining, make, work, fabrication	同根：manufactured 制造的，已制成的；manufacturer 制造商；[经] 厂商；manufactory 制造厂，工厂
sequence	/ˈsikwəns/	n. 连续， 接续， 一连串； 次序， 顺序	Be careful to perform the actions in the correct sequence .	注意要按正确的顺序来完成动作。	同义：order, consecutiveness	同根：sequential 连续的；相继的；有顺序的；sequent 连续的；其次的；作为结果而产生的；sequent 结果；相继发生的事
collision	/kəˈlɪʒən/	n. 碰撞； 冲突， 抵触	Two people were killed in a head-on collision (= between two vehicles that are moving directly towards each other ) on highway 218.	218号公路上有两辆汽车迎面相撞，两人死亡。	同义：interference, conflict, war, crash	同根：collisional 碰撞引起的；collisionless 无碰撞的；collide 碰撞；抵触，冲突
qualification	/,kwɑlɪfɪˈkeʃən/	n. 资格， 资格证明， 合格证书； 限制， 限定	He left school without any qualifications.	他离校时没有拿到任何文凭。	同义：membership, limitation, capacity, condition	同根：qualified 合格的；有资格的；qualifying 使具有资格的；qualifier 限定词，[语] 限定语；取得资格的人；修饰语
provision	/prəˈvɪʒn/	n. 供应； 准备； 条款， 规定； 给养， 口粮	He made provisions for his wife and his children in his will.	在遗嘱里他为妻子和孩子都做好了安排。	同义：item, preparation, arrangement, preliminary	同根：provisional 临时的，暂时的；暂定的；provisional 临时邮票；provider 供应者；养家者
recruit	/rɪˈkrut/	vt. 招募，吸收 n. 新兵； 新成员	We’re having difficulty recruiting enough qualified staff.	我们难以招聘到足够的合格职员。	同义：hands wanted, big john, supply, to replenish	同根：recruitment 补充；征募新兵；recruiter 招聘人员，征兵人员
thrust	/θrʌst/	vt. 插；戳，刺 n. 戳， 刺； 要点， 要旨； 推力	He jumped back to avoid another thrust of the knife.	他往后一闪，躲避再次捅来的一刀。	同义：pushing force, spine, build in, plug in	同根：thrusting 有强大推进力的；有进取心的；thruster （火箭）[航] 推进器；向上钻营的人；thrusting 推；插；挤
replacement	/rɪˈplesmənt/	n. 代替， 取代； 更换， 调换； 替代的人	Our old car is badly in need of replacement.	我们的旧车急需更换。	同义：restoration, substitute	同根：replaceable 可替换的；可置换的；可放在原处的；replaceability 可替换性，替代性；置换能力；replace 取代，代替；替换，更换；归还，偿还；把…放回原处
mud	/mʌd/	n. 泥， 泥浆	By the end of the game, all the kids were covered in mud.	到了比赛快结束的时候，所有的孩子都浑身是泥。	同义：soil, spot, dirty, muld	同根：muddy 泥泞的；模糊的；混乱的；mudder 善于在泥地上跑的马；muddiness 泥污；混浊不清
mug	/mʌɡ/	n. 大杯 vt. 对…行凶抢劫	a coffee mug	一个咖啡杯	同义：cup, face, make faces, pull faces	同根：mugger 行凶抢劫者，偷袭抢劫者；泽鳄（产于非洲）；mugging 行凶抢劫；（美）哑剧；mugging 自背后袭击并抢劫；扮鬼脸（mug的ing形式）
pond	/pɑnd/	n. 池塘	This went on until one day when I was fishing with a friend of mine at a nearby pond.	这样持续了一段时间，直到有一天，当我在我的一个朋友在附近的一个池塘钓鱼。	同义：tank, mere	
arrival	/əˈraɪvəl/	n. 到达， 到来； 到达者， 到达物	Only the timely arrival of the police prevented the situation from becoming worse.	警方及时赶到才阻止了事态恶化。	同义：coming, advent	同根：arriver 到达者；arrive 到达；成功；达成；出生
scientific	/,saɪənˈtɪfɪk/	adj. 科学的	We believe in investing in scientific research.	我们相信科学研究的投资价值。	同义：systematic	同根：scientifically 系统地；合乎科学地；学问上；science 科学；技术；学科；理科；scientist 科学家
frequent	/ˈfrikwənt/	adj. 时常发生的，常见的 v. 常到， 常去	Trains rushed past at frequent intervals .	火车频频驶过。	同义：confirmed, continual, resort to	同根：frequently 频繁地，经常地；时常，屡次；frequency 频率；频繁；frequenter 常客；常常来访者
