en	phonetic	cn	example	exampleCn	synonym	root
preliminary	/prɪˈlɪmɪnɛri/	adj. 预备的，初步的 n.  初步做法， 起始行为	the preliminary stages of the competition	竞赛的预赛阶段	同义：preparation, opening	同根：prelim  预备考试
obstacle	/ˈɑbstəkl/	n.  障碍， 障碍物； 妨害	The tax puts obstacles in the way of companies trying to develop trade overseas.	这项税收为想在海外发展贸易的公司设置了障碍。	同义：interference	
profession	/prəˈfɛʃən/	n.  职业； 公开表示	the medical profession	医学界	同义：employment	同根：professional  专业的；职业的；职业性的；professed  声称的；公开承认的；伪称的；professionally  专业地；内行地
van	/væn/	n.  大篷车， 运货车	a delivery van	运货车	同义：vanguard	
dizzy	/ˈdɪzi/	adj. 头晕目眩的，眩晕的；头晕的 vt.  令人发晕	The heat and the champagne made him feel dizzy .	高温和香槟酒使他感到眩晕。	同义：swimming, cloud	同根：dizzily  使人眼花地；头昏眼花地；dizziness  头晕；头昏眼花
resemblance	/rɪˈzɛmbləns/	n.  相似， 形似	There was a remarkable resemblance between him and Pete.	他和皮特有一个惊人的相似之处。	同义：image	同根：resemble  类似，像
exceptional	/ɪkˈsɛpʃənl/	adj.  优越的， 杰出的； 例外的， 独特的， 异常的	an exceptional student	出类拔萃的学生	同义：novel	同根：exceptionally  异常地；特殊地；例外地；except  除了；要不是；exception  例外；异议
constitute	/ˈkɑnstətut/	vt.  组成， 形成； 设立； 任命	We must redefine what constitutes a family.	我们必须对家庭的构成重新定义。	同义：install	同根：constituent  构成的；选举的；constitutive  基本的；本质的；制定的；构成分子的；constitution  宪法；体质；章程；构造
cherish	/ˈtʃɛrɪʃ/	vt.  珍爱， 珍视； 爱护， 抚育； 抱有， 怀有	He cherished his privacy.	他很注重自己的隐私。	同义：treasure	
discrepancy	/dɪsˈkrɛpənsi/	n.  不符合， 不一致	A modification of the common-origin theory accounts for the density discrepancy .	关于共同起源的理论，有一种改进的论点解释了密度的不符。	同义：conflict	同根：discrepant  有差异的；相差的；矛盾的
spectrum	/ˈspɛktrəm/	n.  谱， 光谱， 频谱； 范围， 幅度， 系列	The two articles here represent opposite ends of the spectrum .	这里的两篇文章代表了两个极端的观点。	同义：extent	同根：spectroscopic  光谱学的；分光镜的；spectrographic  光谱的；spectrometric  光谱测定的；度谱的；分光仪的；能谱仪的
convince	/kənˈvɪns/	vt.  使确信， 使信服， 说服	Her arguments didn’t convince everyone, but changes were made.	她的论点不能说服每个人，但还是引起了一些变化。	同义：assure	同根：convinced  确信的；深信的；convincing  令人信服的；有说服力的；convincible  可使信服的；可说服的
prolong	/prəˈlɑːŋ/	vt.  延长， 拉长， 拖延	I was trying to think of some way to prolong the conversation.	我在想方设法拖长这次谈话。	同义：drag on	同根：prolonged  延长的；拖延的；持续很久的；prolongation  延伸；延长部分；[经] 延期
missionary	/ˈmɪʃənɛri/	n.  传教士	My mother would still like me to be a missionary in Africa.	我母亲还是想让我在非洲做一名传教士。	同义：Boanerges	同根：mission  使命，任务；代表团；布道；missioner  传教士，教区传教士；mission  派遣；向……传教
terminate	/ˈtɝmɪnet/	v.  停止， 终止	The court ruled that the contract must be terminated.	法庭裁决该合同必须终止。	同义：fulfill, result, ended	同根：terminated  终止的；有限的；terminable  可终止的；有期限的；terminative  终结的；决定的；结尾的；限定的
valve	/vælv/	n.  阀， 活门； 瓣膜， 活瓣	heart valves	心脏瓣膜	同义：depression tube	同根：valved  装有阀的；valved  装阀于…（valve的过去分词）
refund	/ˈrifʌnd/	n.  退款 vt.  退还	They refused to give me a refund .	他们拒绝给我退款。	同义：return, replace, payment	
remnant	/ˈrɛmnənt/	n.  残留部分	Beneath the present church were remnants of Roman flooring.	在目前的这座教堂下面还有残余的古罗马地板。	同义：surplus, remaining	
internal	/ɪnˈtɝnl/	adj.  内的， 国内的； 内心的	We have no interest in interfering in the internal affairs of other countries.	我们对干涉其他国家内政不感兴趣。	同义：inner	同根：internally  内部地；国内地；内在地；intern  实习生，实习医师；internalization  内在化；成为主观
literary	/lɪtərɛri/	adj.  文学的； 文人的， 书卷气的	a literary prize	文学奖	同义：written	同根：literate  受过教育的；精通文学的；literature  文学；文献；文艺；著作；literacy  读写能力；精通文学
classical	/ˈklæsɪkl/	adj.  古典的， 经典的	the classical theory of relativity	经典相对论	同义：traditional, classic music	同根：classic  经典的；古典的，传统的；最优秀的；classically  拟古地；古典主义地；classic  名著；经典著作；大艺术家
privilege	/ˈprɪvəlɪdʒ/	n.  特权； 优惠	He had no special privileges and was treated just like every other prisoner.	他不享受特权，待遇和任何其他犯人一样。	同义：franchise	同根：privileged  享有特权的；有特别恩典的；privileged  给予…特权；免除（privilege的过去分词）
substitute	/ˈsʌbstɪtut/	n. 代替人，代用品 vt.  用…代替	Germany brought on a substitute at half time.	德国队在比赛半场时换上一名替补队员。	同义：replacement, supply, replace	同根：substitutable  可替换的；substitution  代替；[数] 置换；代替物；substituting  取代；代入
mortgage	/ˈmɔrɡɪdʒ/	n. 抵押，抵押借款 vt.  抵押	Your building society or bank will help arrange a mortgage.	你加入的购房互助协会或银行将会给你安排抵押贷款。	同义：hold in pledge, hypothecation	同根：mortgagee  [会计] 承受抵押人；押入者贷款人；mortgagor  抵押人（等于mortgager）
blaze	/blez/	vi. 熊熊燃烧，着火；发光，放光彩；迸发，爆发 n.  火焰， 烈火； 光辉， 强烈的光； 迸发， 爆发； 灿烂， 炫耀	The room was warm, with a fire blazing in the hearth.	房间里暖融融的，壁炉里的火熊熊燃烧。	同义：tell the world, flame, burn	同根：blazing  燃烧的；强烈的；闪耀的；blazing  非常；blazer  燃烧体；宣布者；颜色鲜明的运动上衣
moreover	/mɔrˈovɚ/	adv.  而且， 再者， 此外	The rent is reasonable and, moreover, the location is perfect.	租金合理，而且位置也非常好。	同义：besides	同根：more  更多的；附加的；more  更多；此外；更大程度地；more  更多
scatter	/ˈskætɚ/	vt.  撒， 散播； 使散开， 驱散	The sound of gunfire made the crowd scatter in all directions.	枪声使人群四散奔逃。	同义：spread around, disject, dissemination	同根：scattered  分散的；散乱的；scattering  分散的；scattershot  漫无目标的；任意的
violate	/ˈvaɪəlet/	vt.  违反， 违背； 亵渎； 侵犯， 妨碍	34 protesters were arrested for violating criminal law.	34名抗议者因违反刑法而被逮捕。	同义：let	同根：violable  易受侵犯的；可亵渎的；可违反的；violative  违犯的；违背的；违反的；violation  违反；妨碍，侵害；违背；强奸
federal	/ˈfɛdərəl/	adj.  联邦的， 联盟的	Switzerland is a federal republic.	瑞士是一个联邦共和国。	同义：confederal	同根：federalist  （支持）联邦党人的；联邦制的；federate  同盟的；联邦制度下的；联合的；federated  联邦的；联合的；结成同盟的
verify	/ˈvɛrɪfaɪ/	vt.  证实， 查证， 证明	His statement was verified by several witnesses.	他的说法得到了几位证人的证实。	同义：touch bottom	同根：verified  已查清的，已证实的；verifiable  可证实的；能作证的；可检验的；verification  确认，查证；核实
excursion	/ɪkˈskɝʒn/	n.  远足， 短途旅行	a shopping excursion	购物游	同义：skewing	
inaugurate	/ɪˈnɔɡjəret/	vt.  开始， 开展； 为…举行就职典礼； 为…举行开幕式， 为…举行落成仪式	The Turner Prize was inaugurated in 1984.	特纳奖于1984年正式设立。	同义：pioneer	同根：inaugural  开始的；开幕的；就任的，就职的；inaugural  就职演讲；开幕辞；inauguration  就职典礼；开始，开创；开幕式
undergo	/,ʌndɚˈɡo/	vt.  经历； 经受， 忍受	The country has undergone massive changes recently.	这个国家最近经历了巨大的变化。	同义：experience	
reward	/rɪˈwɔrd/	n. 报答，奖赏；报酬，酬金 vt.  报答， 酬谢， 奖励	The school has a system of rewards and punishments to encourage good behaviour.	学校有奖惩制度以鼓励良好行为。	同义：compensation, put a premium on	同根：rewarding  有益的，值得的；有报酬的，报答的；rewardful  有报酬的；有酬劳的
graze	/ɡrez/	vi. 吃青草 vt. 放牧；擦伤；擦过，掠过 n.  擦破	fields where they used to graze their sheep	他们过去放羊的田野	同义：grass, brush burn, pasturage	同根：grazed  擦破的；grazing  放牧；牧草；grazier  放牧人；畜牧业者；牧场主
coupon	/ˈkupɑn/	n.  礼券， 优惠券； 配给券， 票证	The coupon entitles you to ten cents off your next purchase.	这张优惠券可以让你在下次购物时节省10分钱。	同义：Oakley	
multitude	/ˈmʌltɪˌtud, -ˌtjud/	n.  大量， 许多； 大众， 民众	Political power has been placed in the hands of the multitude.	政治权力已交到民众手中。	同义：majority	
inhabit	/ɪnˈhæbɪt/	vt.  居住于， 栖居于	The woods are inhabited by many wild animals.	很多野生动物栖居在这片森林里。	同义：people, belong	同根：inhabited  有人居住的；inhabitable  适于居住的；可居住的，可栖居的；inhabitant  居民；居住者
siege	/sidʒ/	n.  包围， 围困	The siege lasted almost four months.	这次封锁历时近四个月。	同义：besiegement, invest	
agenda	/əˈdʒɛndə/	n.  议程	The Republicans have stuck to their conservative agenda.	共和党人坚持自己的保守议题。		
degenerate	/dɪˈdʒɛnəret/	vi. 衰退，堕落，蜕化 adj. 衰退的，堕落的 n.  堕落者	Inactivity can make your joints stiff, and the bones may begin to degenerate.	不活动会使关节僵硬，骨骼因此可能会开始退化。	同义：go ill, go to seed, fallen, lost souls	同根：degenerative  退化的；变质的；退步的；degeneration  退化；[医] 变性；堕落；恶化；degeneracy  退化；[物] 简并；堕落；退步
nurture	/ˈnɝtʃɚ/	n&vt.  养育， 培育， 滋养	plants nurtured in the greenhouse	在温室里培育的植物	同义：encourage, nursing	同根：nurturant  抚育的；抚养的；nursing  护理；看护；养育；nurturance  养成；教育；培养（形容词nurturant）；养育
destructive	/dɪˈstrʌktɪv/	adj.  破坏的， 毁灭的	the destructive power of modern weapons	现代武器的破坏力	同义：harmful	同根：destructible  可破坏的；易损坏的；destructively  破坏地；狼狈地；destruction  破坏，毁灭；摧毁
appearance	/əˈpɪrəns/	n.  出现， 来到； 外观	He was always criticising his wife’s appearance.	他老是批评妻子的外表。	同义：occurrence	同根：appear  出现；显得；似乎；出庭
culture	/ˈkʌltʃɚ/	n.  文化， 文明； 教养； 培养； 培养菌	We speak Danish at home so that the boys don’t lose touch with their language and culture.	我们在家说丹麦语，这样男孩子们就不会脱离他们的语言和文化。	同义：civilization, rear	同根：cultural  文化的；教养的；cultured  有教养的；人工培养的；讲究的；culturally  从文化角度，文化意义上；在人文学方面
paternity	/pəˈtɝnəti/	n.  父权， 父子关系	The paternity of the child is in dispute.	这个孩子的生父是谁尚有疑问。	同义：patriline	
hasty	/ˈhesti/	adj.  草率的， 轻率的； 急速的， 匆忙的， 仓促完成的	He soon regretted his hasty decision.	他很快就对自己仓促作出的决定感到后悔了。	同义：brief	同根：hastily  匆忙地；急速地；慌忙地；haste  匆忙；急忙；轻率；hastiness  轻率；性急；仓促
fake	/feɪk/	adj. 假的，伪造的 n. 假货；骗子 vt.  伪造， 捏造； 伪装	fake fur	人造毛皮		同根：fakery  伪造；假货；faker  摊贩；骗子；伪造者，伪装者
span	/spæn/	n. 跨距，一段时间 vt.  持续， 贯穿， 包括； 横跨， 跨越	It’ll be difficult to hire that many new staff in such a short time span .	在这么短的时间里要想招聘到那么多新员工是很难的。	同义：extent, stride leap	同根：spanner  扳手；螺丝扳手；测量器；用手掌量的人
escort	/ˈeskɔːrt/	n. 护卫者，护送者 vt.  护送， 护卫	a police escort	警察护卫队	同义：guard, accompany vt.	
bizarre	/bɪˈzɑr/	adj.  奇形怪状的， 怪诞的	a bizarre coincidence	奇怪的巧合	同义：fantastic	
existence	/ɪɡˈzɪstəns/	n.  存在， 实在； 生存	Scientists have many theories about how the universe first came into existence (= started to exist ).	关于宇宙的起源，科学家有多种理论。	同义：presence	同根：existing  目前的；现存的；existent  存在的；生存的；existential  存在主义的；有关存在的；存在判断的
threshold	/ˈθrɛʃhold/	n.  门槛， 门口； 入门， 开端， 起始点	She opened the door and stepped across the threshold.	她打开门，跨过门槛。	同义：entry	
float	/flot/	v.  浮动， 漂浮， 飘动	I looked up at the clouds floating in the sky.	我仰望着天上的浮云。	同义：execute, fan, drift	同根：floating  流动的；漂浮的，浮动的；floaty  吃水浅的；能浮起的；floatation  [物化] 浮选；漂浮性
minority	/maɪˈnɔrəti/	n.  少数； 少数民族	Gaelic is still spoken in Ireland by a tiny minority.	爱尔兰仍有极少数人在说盖尔语。	同义：ethnic minorities	同根：minor  未成年的；次要的；较小的；小调的；二流的；minor  未成年人；小调；副修科目；minor  副修
axis	/ˈæksɪs/	n.  轴， 轴线， 中心线； 坐标轴， 基准线	The Earth rotates on an axis between the north and south poles.	地球绕着南北两极之间的地轴自转。	同义：sheft	
pole	/pol/	n.  杆； 极， 磁极， 电极	a telephone pole	电话线杆	同义：electrode	同根：poler  辕马；撑船者
preferable	/ˈprɛfrəbl/	adj.  更可取的， 更好的， 更合意的	For this dish, fresh herbs and garlic are preferable.	做这道菜，用新鲜香草和大蒜更好。	同义：Mair	同根：preferably  较好；宁可，宁愿；更适宜；prefer  喜欢；愿意；prefer  更喜欢；宁愿；提出；提升
reference	/ˈrɛfrəns/	n.  提到， 论及； 参考， 查阅； 引文； 参考书目； 证明书， 推荐信	Keep their price list on file for future reference (= so that it can be looked at in the future ) .	将他们的价目表存档，以供日后参考。	同义：involved in, quote, cite	同根：referenced  引用的，参考的；referential  指示的；用作参考的；referable  可归因于…；可参考的；可交付的；可涉及的
spite	/spaɪt/	n. 恶意，怨恨；不顾 vt.  刁难， 欺侮	We went out in spite of the rain.	尽管下着雨，我们还是出去了。	同义：regardless of, make a difficulty	同根：spiteful  怀恨的，恶意的；spitefully  怀恨地；怀有恶意地；spitefulness  怀恨在心；充满恶意
defendant	/dɪˈfɛndənt/	n.  被告	We find the defendant not guilty.	我们裁定被告无罪。	同义：justificatory, accused person	同根：defensible  可防御的；可辩护的；可拥护的；defender  防卫者，守卫者；辩护者；拥护者；卫冕者；defend  保卫；防守
arrange	/əˈrendʒ/	v.  安排， 准备； 整理	Contact your local branch to arrange an appointment.	请联络当地分部安排预约。	同义：schedule, place in	同根：arranged  安排的；arrangement  布置；整理；准备；arranged  安排；计划；准备（arrange的过去式和过去分词）
olive	/ˈɑlɪv/	n.  橄榄， 橄榄树	an olive grove	一片橄榄树林	同义：Olive Tree	同根：olivine  [矿物] 橄榄石；黄绿；olivenite  [矿物] 橄榄铜矿
coarse	/kɔrs/	adj.  粗的， 粗糙的； 粗劣的； 粗俗的	a jacket of coarse wool	粗羊毛夹克衫	同义：crude	同根：coarsely  粗糙地；鄙俗地；粗俗地；coarseness  粗；粗糙；劣等；coarsen  变粗糙；变粗俗
exaggerate	/ɪɡˈzædʒəret/	v.  夸大， 夸张	I couldn’t sleep for three days – I’m not exaggerating.	我三天没睡觉了——一点不夸张。	同义：enlarge, put it on	同根：exaggerated  夸张的，言过其实的；exaggeratedly  夸张地；exaggeration  夸张；夸大之词；夸张的手法
streamline	/ˈstrimlaɪn/	vt.  使成流线型； 精简， 使效率更高	efforts to streamline the production process	简化生产过程的努力	同义：flowline, faired	同根：streamlined  流线型的；改进的；最新型的；streamliner  流线型火车；streamlined  使成流线型；使合理化（streamline的过去式和过去分词）
imply	/ɪmˈplai/	vt.  暗示， 意指	an implied threat	隐含的威胁	同义：mean	同根：implied  含蓄的；暗指的；implied  暗示；意味（imply的过去式）
offset	/,ɔfˈsɛt/	vt.  补偿， 抵消	Cuts in food prices will be offset by direct payments to farmers.	食品降价将通过直接付款给农民的方式进行补偿。	同义：compensation, kill	
commitment	/kəˈmɪtmənt/	n.  承诺， 许诺， 保证； 信奉， 献身； 承担的义务	Are you ready to make a long-term commitment ?	你是否准备好作出长久的承诺？	同义：assurance	同根：committed  坚定的；效忠的；承担义务的；commissioned  受委任的，受任命的；服役的，现役的；commission  委员会；佣金；犯；委任；委任状
cavity	/ˈkævəti/	n.  洞， 穴， 凹处； 龋洞	...a cavity in the roof.	…屋顶的一个洞。	同义：recession	同根：cave  洞穴，窑洞；cavern  洞穴；凹处；cave  凹陷，塌落；投降
coward	/ˈkaʊɚd/	n.  胆小鬼， 懦夫	Try it. Don’t be such a coward.	试一下，别那么胆小。	同义：chicken, timid	同根：cowardly  怯懦的，懦弱的；胆小的；cowardly  胆怯地；cowardliness  胆怯；懦弱
fossil	/ˈfɑsl/	n.  化石； 食古不化的人， 老顽固	fossils of early reptiles	早期爬行动物的化石	同义：petrification, banal	同根：fossilized  石化的；僵化的；老化的；fossiliferous  含有化石的；fossilization  石化；僵化
poke	/pok/	vi. 伸出，突出 vt. 戳，捅；用…戳，把…戳向；伸出，突出 n.  戳， 捅	One of the nurses poked her head around the door.	其中一名护士从门里探出头来。	同义：moon, stick, soldier	同根：poker  拨火棍；纸牌戏；（用棍）戳的人；poker  烙制
rejection	/rɪˈdʒɛkʃən/	n.  拒绝	They sent me a rejection letter.	他们给我发了一封回绝信。	同义：refusal	同根：rejective  拒绝的；排斥的；reject  被弃之物或人；次品；reject  拒绝；排斥；抵制；丢弃
fixture	/ˈfɪkstʃɚ/	n.  固定装置； 固定在某位置的人	light fixtures	照明设备	同义：equipment	同根：fixed  固执的；<美口>处境...的；准备好的；确定的；fixative  固定的；定色的；防挥发的；fixedly  固定地；不动，不变
manufacture	/ˈmænjəˈfæktʃɚ/	vt. 制造，加工 n.  制造， 制造业	the company that manufactured the drug	生产这种药的公司	同义：machining, process	同根：manufactured  制造的，已制成的；manufacturer  制造商；[经] 厂商；manufactory  制造厂，工厂
collision	/kəˈlɪʒən/	n.  碰撞； 冲突， 抵触	Two people were killed in a head-on collision (= between two vehicles that are moving directly towards each other ) on highway 218.	218号公路上有两辆汽车迎面相撞，两人死亡。	同义：interference	同根：collisional  碰撞引起的；collisionless  无碰撞的；collide  碰撞；抵触，冲突
sequence	/ˈsikwəns/	n.  连续， 接续， 一连串； 次序， 顺序	Be careful to perform the actions in the correct sequence .	注意要按正确的顺序来完成动作。	同义：order	同根：sequential  连续的；相继的；有顺序的；sequent  连续的；其次的；作为结果而产生的；sequent  结果；相继发生的事
recruit	/rɪˈkrut/	vt.  招募， 吸收	We’re having difficulty recruiting enough qualified staff.	我们难以招聘到足够的合格职员。	同义：hands wanted, supply, be cured of	同根：recruitment  补充；征募新兵；recruiter  招聘人员，征兵人员
provision	/prəˈvɪʒn/	n.  供应； 准备， 预备； 条款， 规定； 给养， 口粮	He made provisions for his wife and his children in his will.	在遗嘱里他为妻子和孩子都做好了安排。	同义：item	同根：provisional  临时的，暂时的；暂定的；provisional  临时邮票；provider  供应者；养家者
calorie	/ˈkæləri/	n.  大卡； 卡	A potato has about 90 calories.	一个马铃薯大约有90卡路里的热量。		
slogan	/ˈslogən/	n.  标语， 口号； 广告语	an advertising slogan	一句广告口号	同义：banner	同根：sloganeer  标语口号作者；sloganeer  使用标语口号；大量使用标语
invariably	/ɪnˈvɛrɪəbli/	adv.  不变地， 始终如一地， 总是	It invariably rains when I go there.	我每次去那儿都下雨。	同义：always	同根：invariant  不变的；invariable  不变的；常数的；invariant  [数] 不变量；[计] 不变式
tract	/trækt/	n.  传单， 小册子； 大片	vast tracts of woodland	大片大片的林地	同义：zone	
configuration	/kən,fɪɡjəˈreʃən/	n.  配置， 布局， 构造	...Stonehenge, in southwestern England, an ancient configuration of giant stones.	…史前巨石柱群，位于英国西南部，是一座古代巨石阵列。	同义：allocation	同根：configured  配置；配置的，组态的；configurational  结构的；构形的；外形的；组态的；configured  使…成形；按特定形式装配（configure的过去分词）
mercury		n.  水银， 汞	He said that all metals were composed of mercury and sulphur in different proportions .	他说一切金属都是由水银和硫黄按不同比例构成的。	同义：energy	同根：mercurial  水银的；水星的；墨丘利神的；雄辩机智的；活泼善变的；mercuric  [无化] 汞的；水银的；mercurous  水银的；[无化] 亚汞的；含水银的
frequent	/ˈfrikwənt/	adj.  时常发生的， 常见的	Trains rushed past at frequent intervals .	火车频频驶过。	同义：confirmed, resort to	同根：frequently  频繁地，经常地；时常，屡次；frequency  频率；频繁；frequenter  常客；常常来访者
chunk	/tʃʌŋk/	n.  厚片， 大块； 相当大的部分	ice chunks	大冰块	同义：bulk	同根：chunky  矮胖的；粗短的；厚实的
interact	/,ɪntɚˈækt/	vi.  相互作用， 相互影响	While the other children interacted and played together, Ted ignored them.	当其他孩子们相互交往、一起玩耍时，泰德却不理他们。	同义：entr'acte	同根：interactive  交互式的；相互作用的；interactional  相互作用的；interaction  相互作用；[数] 交互作用
commonplace	/ˈkɑmənˈples/	adj. 普通的，平庸的 n.  寻常的事物， 平庸的东西	Car thefts are commonplace in this part of town.	镇上的这个地段盗车案屡见不鲜。	同义：truism, ordinary	同根：commonly  一般地；通常地；普通地；commonness  共性；平凡
aggregate	/ˈæɡrɪɡət; (for v.) æɡrɪˌɡet/	adj.  总计的， 合计的 n. 总数，合计 vt.  总计达， 合计； 使聚集， 使积聚	an increase in the aggregate production	总产量的增长	同义：amount, assemble, collective, collective	同根：aggregated  聚合的；合计的；aggregative  集合的；集团的，集体的；aggregation  [地质][数] 聚合，聚集；聚集体，集合体
seemingly	/ˈsimɪŋli/	adv.  表面上， 看上去	seemingly unrelated bits of information	似乎互不相关的零星信息		同根：seeming  表面上的；seeming  外观；seem  似乎；像是；装作
attendant	/əˈtɛndənt/	adj.  伴随的， 随之产生的 n. 服务人员，侍者，随从	a car park attendant	停车场的服务员	同义：accompanied, waiter	同根：attendance  出席；到场；出席人数；attend  出席；致力于；照料；照顾；attend  出席；上（大学等）；照料；招待；陪伴
array	/əˈre/	n. 展示；陈列，一系列；排列，队形；衣服，盛装；	a bewildering array of options	一大堆眼花缭乱的选择	同义：series of, dress oneself	
parameter	/pəˈræmɪtɚ/	n.  界限， 范围； 参数	The inquiry has to stay within the parameters laid down by Congress.	调查必须局限于国会设定的范围之内。	同义：coefficient	同根：parametric  [数][物] 参数的；[数][物] 参量的
extinct	/ɪkˈstɪŋkt/	adj.  灭绝的， 绝种的； 不再活跃的， 熄灭了的， 已废弃的	Dinosaurs have been extinct for millions of years.	恐龙已灭绝数千万年了。	同义：out	同根：extinguishable  可熄灭的；可灭绝的；extinction  消失；消灭；废止；extinguisher  灭火器；消灭者；熄灭者
discriminate	/dɪˈskrɪmɪnet/	vi.  区别， 辨别； 有差别地对待， 歧视	He is incapable of discriminating between a good idea and a terrible one.	他没能力在一个好主意和一个坏主意之间进行区分。	同义：tell from, tell from	同根：discriminatory  有辨识力的；差别对待的；discriminating  识别的；有差别的；有识别力的；discriminative  区别的，歧视的；有识别力的
opaque	/oˈpek/	adj.  不透明的， 不透光的； 难理解的， 晦涩的	a shower with an opaque glass door	装有不透明玻璃门的淋浴间	同义：slow, devitrify	同根：opaquely  无光泽地；不透明地；opaqueness  不透明性
repay	/riˈpɛi/	vt.  归还； 报答	I’d like to buy them something to repay all their kindness.	我想给他们买点东西来报答他们的好意。	同义：return, get back on	同根：repayable  可偿还的；可报复的；repayment  偿还；[金融] 付还
monetary	/ˈmʌnɪtɛri/	adj.  钱的， 货币的； 金融的	the government’s tight monetary policy	政府从紧的货币政策	同义：financial	同根：monetarist  货币主义的；以货币为基础的；money  钱；货币；财富；monetarism  货币主义
grave	/ɡrev/	adj.  严重的， 严肃的 n. 坟墓	Matthew’s life is in grave danger .	马修的生命危在旦夕。	同义：important, death, brand	同根：graven  不可磨灭的，铭记在心的；雕刻的；gravely  严重地；严肃地；严峻地；沉重地；gravity  重力，地心引力；严重性；庄严
advantage	/ədˈvæntɪdʒ/	n.  优点， 优势； 好处	Younger workers tend to be at an advantage (=  have an advantage  ) when applying for jobs.	年轻点的工人申请工作时往往处于优势地位。	同义：behalf, gain, favor of	同根：advantageous  有利的；有益的；advantaged  得天独厚的；有利的；占有利位置的；advantageously  有利地；方便地；有助地
command	/kəˈmænd/	n&vt.  命令， 指挥； 控制	By 1944, Fletcher had command of a B-17 bomber and a ten-man crew.	到1944年，弗莱彻已负责指挥一架B-17轰炸机和十名机组人员。	同义：order, require, instruction	同根：commanding  指挥的；居高临下的；威风凛凛的；commander  指挥官；司令官；commandment  戒律；法令
compulsory	/kəmˈpʌlsərɪ/	adj.  必须做的， 强制性的； 必修的	He believes that the study of history should be compulsory in school.	他认为在学校里学习历史应该是强制性的。	同义：required, required routine	同根：compulsive  强制的；强迫的；compulsively  强制地，强迫地；compulsorily  强制地；强迫地；必须地
performance	/pɚˈfɔrməns/	n.  演出； 履行， 执行， 完成； 工作情况， 表现， 工作性能	This evening’s performance will begin at 8.00 pm.	今晚的演出8点开始。	同义：property	同根：performing  表演的；履行的；performing  表演（perform的ing形式）；履行；perform  执行，机器运转；表演
serial	/ˈsɪrɪəl/	adj.  连续的， 顺序排列的 n. 连续剧，连载故事	Keep the questions in the same serial order .	让这些问题保持原来的顺序。	同义：continuing, TV series	同根：seriatim  逐一的，依次的；连续的；serially  连续地；连载地；seriatim  逐一地，依次地；连续地
slash	/slæʃ/	vt. 砍；大幅度削减 n.  砍， 砍痕； 斜线号	Someone had slashed the tires.	有人把轮胎割破了。	同义：hide, pick apart, cut	同根：slashing  猛烈的；严厉的；冲劲十足的；巨大的；slashing  猛砍；鞭打；slasher  断木机；刀；乱砍者；血淋淋的恐怖片
fabricate	/ˈfæbrɪket/	vt.  捏造， 伪造， 编造； 建造	The police were accused of fabricating evidence.	警方被控捏造证据。	同义：manufacture	同根：fabricated  焊接的；组合的，装配式的；fabric  织物；布；组织；构造；建筑物；fabrication  制造，建造；装配；伪造物
comic	/ˈkɑmɪk/	adj. 喜剧的，滑稽的 n.  连环漫画； 喜剧演员	a comic novel	滑稽小说	同义：colorful, funny	同根：comical  滑稽的，好笑的；comically  滑稽地；诙谐地；comicality  诙谐；滑稽
perfection	/pɚˈfɛkʃən/	n.  完美， 完善	My father expected perfection from all of us.	父亲期望我们都尽善尽美。	同义：finish	同根：perfect  完美的；最好的；精通的；perfectible  可完成的；可使完美的；perfective  完成的；完成式的
vague	/veɡ/	adj.  不明确的； 含糊的； 暧昧的	The governor gave only a vague outline of his tax plan.	州长只是含糊地大致说了一下他的税务计划。	同义：fuzzy	同根：vaguely  含糊地；暧昧地；茫然地；vagueness  模糊；含糊；暧昧；茫然
pope	/pop/	n.  教皇， 罗马主教	The highlight of the pope's visit will be his message to the people.	教皇访问的亮点是，他将给人们传达训诫。	同义：authority	同根：popish  天主教的；教皇制度的；popery  罗马天主教
exception	/ɪkˈsɛpʃən/	n.  例外， 除外	It’s been cold, but today’s an exception.	天气一直寒冷，但今天是个例外。	同义：dissention	同根：exceptional  异常的，例外的；exceptionable  可反对的；可抗议的；引起反感的；exceptionally  异常地；特殊地；例外地
ego	/ˈiɡo/	n.  自我， 自己， 自尊	That promotion really boosted her ego (= made her feel better about herself ).	那次晋升确实增强了她的自信心。	同义：me	同根：egocentric  [心理] 自我中心的；利己主义的；egoistic  自私自利的，自我中心的；egoistical  自私自利的；自我中心的；利已主义的
urge	/ɝdʒ/	vt. 鼓励；推进，催促；竭力主张，强烈要求 n.  冲动， 强烈的欲望	The charity urged quick action.	慈善机构敦促迅速采取行动。	同义：crowd, impulse, scream for	同根：urgently  迫切地；紧急地；急切地；urgency  紧急；催促；紧急的事
spouse	/spaʊs/	n.  配偶	Spouses were invited to the company picnic.	配偶受到邀请参加公司的野餐会。	同义：mateship	同根：spousal  结婚的；spousal  婚礼；结婚仪式
score	/skɔ/	n. 得分，比数，成绩；二十 vt.  分， 给…打分； 画线于； 获胜	At half-time the score was one all.	半场时的比分是一比一。	同义：marks, acquire, bull point	同根：scoring  得分的；scoreless  没得分的；scoring  得分；刻痕；总谱
isle	/aɪl/	n.  小岛， 岛	the British Isles	不列颠群岛	同义：island	
enclosure	/ɪnˈkloʒɚ/	n.  四周有篱笆的场地， 围场； 附件	the bear enclosure at the zoo	动物园中的熊园	同义：attachment	同根：enclosed  被附上的；与世隔绝的；enclosed  附上（enclose的过去式和过去分词）；enclose  围绕；装入；放入封套
